gas,links,services urban decentral gas boiler0,-37188.18401229633
gas,links,services urban decentral micro gas CHP0,-0.04962843990716623
gas,links,urban central gas CHP CCS electric0,-1.366596851034681
gas,links,urban central gas CHP CCS heat0,-0.18110674292204879
gas,links,urban central gas CHP electric0,-26682.25512860292
gas,links,urban central gas CHP heat0,-4207.73827263236
gas,links,urban central gas boiler0,-0.20443820362009132
gas,stores,gas,426785.1474780813
gas for industry,links,gas for industry CCS1,0.29546405013250876
gas for industry,links,gas for industry1,14197.316682546567
gas for industry,loads,gas for industry,-13812.785388127853
home battery,links,home battery charger1,1163.8749848050509
home battery,links,home battery discharger0,-939.3818799784875
home battery,stores,home battery,938.8563318475394
low voltage,generators,solar rooftop,367180.7159159912
low voltage,links,BEV charger0,-556655.1573117444
low voltage,links,electricity distribution grid1,371081.25505479064
low voltage,links,home battery charger0,-1187.8749321507928
low voltage,links,home battery discharger1,920.4025118254737
low voltage,links,residential rural ground heat pump0,-14776.425460008233
low voltage,links,residential urban decentral air heat pump0,-32802.27411881426
low voltage,links,services rural ground heat pump0,-0.045450227667798514
low voltage,links,services urban decentral air heat pump0,-12557.391796859576
low voltage,links,urban central air heat pump0,-1441.829116872677
low voltage,loads,electricity,-171032.4204604805
process emissions,links,process emissions CCS0,-17605.01326838298
process emissions,links,process emissions0,-0.009681115476269042
process emissions,loads,process emissions,17605.022831050228
residential rural heat,generators,residential rural solar thermal,0.23744226521932957
residential rural heat,links,residential rural gas boiler1,10927.268065682449
residential rural heat,links,residential rural ground heat pump1,60379.35050056789
residential rural heat,links,residential rural micro gas CHP2,0.012440842268667854
residential rural heat,links,residential rural resistive heater1,18014.52645447834
residential rural heat,links,residential rural water tanks charger0,-42146.14848042216
residential rural heat,links,residential rural water tanks discharger1,30825.843050905914
residential rural heat,loads,residential rural heat,-85017.08764750592
residential rural water tanks,links,residential rural water tanks charger1,35402.7647235546
residential rural water tanks,links,residential rural water tanks discharger0,-36697.432203459415
residential rural water tanks,stores,residential rural water tanks,36697.27309416938
residential urban decentral heat,generators,residential urban decentral solar thermal,0.25622981439687387
residential urban decentral heat,links,residential urban decentral air heat pump1,133078.5841346849
residential urban decentral heat,links,residential urban decentral gas boiler1,91230.62236293986
residential urban decentral heat,links,residential urban decentral micro gas CHP2,0.01266796629770376
residential urban decentral heat,links,residential urban decentral resistive heater1,95505.47017033759
residential urban decentral heat,links,residential urban decentral water tanks charger0,-135412.68773866954
residential urban decentral heat,links,residential urban decentral water tanks discharger1,82962.96800076186
residential urban decentral heat,loads,residential urban decentral heat,-230376.0707049671
residential urban decentral water tanks,links,residential urban decentral water tanks charger1,113746.65770048238
residential urban decentral water tanks,links,residential urban decentral water tanks discharger0,-98765.43809614508
residential urban decentral water tanks,stores,residential urban decentral water tanks,98765.05988462489
services rural heat,generators,services rural solar thermal,0.11782098701093445
services rural heat,links,services rural gas boiler1,0.04133319453240794
services rural heat,links,services rural ground heat pump1,0.1829579197081537
services rural heat,links,services rural micro gas CHP2,0.011458170545408429
services rural heat,links,services rural resistive heater1,1.4868333683806856
services rural heat,links,services rural water tanks charger0,-4.110682092846738
services rural heat,links,services rural water tanks discharger1,2.673572717278732
services rural heat,loads,services rural heat,0.0
services rural water tanks,links,services rural water tanks charger1,3.452972957991261
services rural water tanks,links,services rural water tanks discharger0,-3.182824663427063
services rural water tanks,stores,services rural water tanks,0.4011925133177029
services urban decentral heat,generators,services urban decentral solar thermal,0.25266891875006187
services urban decentral heat,links,services urban decentral air heat pump1,50042.00145954627
services urban decentral heat,links,services urban decentral gas boiler1,36816.30217217337
services urban decentral heat,links,services urban decentral micro gas CHP2,0.012660823893743024
services urban decentral heat,links,services urban decentral resistive heater1,38925.38068027135
services urban decentral heat,links,services urban decentral water tanks charger0,-53690.0132414498
services urban decentral heat,links,services urban decentral water tanks discharger1,31338.201513046126
services urban decentral heat,loads,services urban decentral heat,-98832.06974021441
services urban decentral water tanks,links,services urban decentral water tanks charger1,45099.61112281784
services urban decentral water tanks,links,services urban decentral water tanks discharger0,-37307.38275362635
services urban decentral water tanks,stores,services urban decentral water tanks,37306.59631415587
solid biomass,links,solid biomass for industry CCS0,-12.837446982865446
solid biomass,links,solid biomass for industry0,-28667.117583611365
solid biomass,links,solid biomass transport0,-0.14452860911896379
solid biomass,links,solid biomass transport1,0.14452860911896379
solid biomass,links,urban central solid biomass CHP CCS electric0,-95224.55458315181
solid biomass,links,urban central solid biomass CHP CCS heat0,-12313.505269812878
solid biomass,links,urban central solid biomass CHP electric0,-2.7605884659953337
solid biomass,links,urban central solid biomass CHP heat0,-0.3391180255595068
solid biomass,stores,solid biomass,123664.71484098615
solid biomass for industry,links,solid biomass for industry CCS1,11.553702284578902
solid biomass for industry,links,solid biomass for industry1,28667.117583611365
solid biomass for industry,loads,solid biomass for industry,-13013.698630136987
urban central heat,generators,urban central solar thermal,0.48829293542681496
urban central heat,links,Fischer-Tropsch3,3526.8292792706775
urban central heat,links,H2 Fuel Cell2,0.014729876912187797
urban central heat,links,urban central air heat pump1,5363.411859371539
urban central heat,links,urban central gas CHP CCS heat1,0.47087753159732676
urban central heat,links,urban central gas CHP heat1,12062.183048212772
urban central heat,links,urban central gas boiler1,0.21261573176489498
urban central heat,links,urban central resistive heater1,177905.00726465412
urban central heat,links,urban central solid biomass CHP CCS heat1,21343.409134342324
urban central heat,links,urban central solid biomass CHP heat1,0.6556281827483799
urban central heat,links,urban central water tanks charger0,-166609.07287476232
urban central heat,links,urban central water tanks discharger1,62588.90722260505
urban central heat,loads,low-temperature heat for industry,-23401.826484018267
urban central heat,loads,urban central heat,-51820.233586535796
urban central water tanks,links,urban central water tanks charger1,139951.62121480034
urban central water tanks,links,urban central water tanks discharger0,-74510.60383643462
urban central water tanks,stores,urban central water tanks,74483.86321197862
