,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,,,,,,,,,
AT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BA,,,,,,,,,
BE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CH,,,,,,,,,
CY,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CZ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
EE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
UK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
EL,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
HR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
IE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
IS,,,,,,,,,
IT,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
LT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LU,,,,,,,,,
LV,,,,,,,,,
ME,,,,,,,,,
MK,,,,,,,,,
MT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
NL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
NO,,,,,,,,,
PL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
PT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RS+KS,,,,,,,,,
SE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TR,,,,,,,,,
TR,,,,,,,,,
